ST_LABEL,L_ZIP,R_ZIP
6 AV,11217,11217
TIER ST,10464,10464
BORDEN AV,11101,11101
34 AV,11368,11368
W KINGSBRIDGE RD,10468,10468
GRAND CENTRAL PKWY WB EN 94 ST,11369,11369
207 STREET,11411,11411
LONG ISLAND EXPWY ET 22 D EB,11355,11355
MADISON ST,11385,11385
164 ST,11433,11433
SEAVIEW AV,11236,11236
HIGHLAND AV,11432,11432
BRUCKNER BLVD,10465,10465
12 AV,11219,11219
BEACH 16 ST,11691,11691
FDR DR SB EN GRAND ST,10002,10002
GLENWOOD RD,11230,11230
W 31 ST,10001,10001
MONITOR ST,11222,11222
WASHINGTON BR,10452,10452
TRANTOR PL,10302,10302
SPRAGUE AV,10307,10307
122 AV,11436,11436
37 ST,11218,11218
21 AV,11357,11357
BOGART ST,11206,11206
MADISON AV,10065,10065
LEEDS ST,10306,10306
TER BR,11226,11226
127 ST,11418,11418
ROCKAWAY AV,11212,11212
HYLAN BLVD,10306,10306
BETHESDA TER PATH,83,83
130 RD,11434,11434
CANARSIE LA,11236,11236
94 ST,11416,11416
85 AV,11426,11426
3 AV BRIDGE PED AND BIKE PATH,10035,10035
180 ST,11365,11365
E 171 ST,10457,10457
LORRAINE LOOP,10309,10309
WILLIAMSBURG BR,10002,10002
ALLEY,11220,11220
BEACH CHANNEL DR,11691,11691
134 RD,11413,11413
150 ST,11357,11357
RAMONA AV,10312,10312
N CONDUIT AV,11420,11420
HUTCHINSON RIVER PKWY,10464,10464
ELVERTON AV,10308,10308
29 ST,11105,11105
BELT PKWY,11235,11235
VETERANS AV,11234,11234
E 27 ST,10010,10010
JAMAICA BAY WILDLIFE TRL,11693,11693
BEACH 210 ST,,
ROOSEVELT AV,11377,11377
22 AV,11356,11356
PARK AV,10016,10016
BROOKLYN QUEENS EXPWY ET 26 WB,11231,11231
EASTERN PKWY,11213,11213
VANCE ST,10469,10469
METCALF AV,11365,11365
91 AV,11428,11428
VILLAGE RD S,11223,11223
37 AV,11368,11368
45 AV,11355,11355
BEACH CHANNEL DR,11692,11692
12 AV,11228,11228
WESTERVELT AV,10301,10301
MARCY AV,11206,11206
WASHINGTON BRG,10033,10033
6 AV,11217,11217
OSGOOD AV,10304,10304
AV H,11234,11234
80 ST,11414,11414
HOLLAND TUN EXIT,10013,10013
W 229 ST,10463,10463
CORRELL AV,10309,10309
51 RD,11377,11377
OAK PT AV,10474,10474
WALDRON ST,11368,11368
MAJOR AV,10305,10305
CORTELYOU RD,11218,11218
BAINBRIDGE ST,11233,11233
RAMAPO AV,10309,10309
80 AV,11385,11385
W 80 ST,10024,10024
SEASIDE AV,11694,11694
49 ST,11220,11220
37 ST,11218,11218
108 ST,11375,11375
BEACH 119 ST,11694,11694
OCEAN VIEW AV,11224,11224
JUNCTION BLVD,11374,11374
116 ST,11418,11418
HERRICK AV,10309,10309
WEMPLE ST,10303,10303
234 ST,11422,11422
BEACH 4 ST,11691,11691
RANDOLPH ST,11237,11237
S GREENLEAF AV,10314,10314
CLOVE RD,10301,10301
FIELD PL,10465,10465
E GUN HILL RD,10469,10469
DARCEY AV,10314,10314
SILVER LAKE RD,10301,10301
EXETER ST,11235,11235
ONDERDONK AV,11385,11385
W SHORE EXPRESSWAY EXIT 1 NB,10309,10309
LACOMBE AV,10473,10473
56 ST,11377,11377
HHP SB EN W 96 ST,10025,10025
19 AV,11204,11204
75 RD,11366,11366
BK BATTERY TNNL PEDESTRIAN OPAS,10006,10004
53 AV,11101,11101
W 119 ST,10027,10027
10 AV,10011,10011
S DRUM ST,10309,10309
E 72 ST,10021,10021
PURDY AV,10314,10314
WATCHOGUE RD,10314,10314
CROSS ISLAND PKWY,11357,11357
ARDEN AV,10312,10312
PENNYFIELD AV,10465,10465
THROGS NECK EXPY,10465,10465
46 AV,11101,11101
1 PL,11231,11231
BUSHWICK HOUSES PEDESTRIAN PATH,11206,11206
HARLEM RIVER DR,10039,10039
219 ST,11413,11413
PARK AV,11205,11205
LONG ISLAND EXPY,11362,11362
249 ST,11426,11426
E 172 ST,10460,10460
144 ST,11413,11413
S 1 ST,11249,11249
GRAND CONCOURSE,10458,10458
BEVERLEY ROAD,11226,11226
224 ST,11428,11428
ROCKAWAY BLVD,11417,11417
DENISE CT,10312,10312
N BOUNDARY RD,11430,11430
123 ST,11415,11415
COMBS AV,10306,10306
HOYT ST,11231,11231
GRAND CENTRAL PARKWAY ET 4 WB,11370,11370
120 AV,11420,11420
DRIVEWAY,11691,11691
BENNETT AV,10040,10040
GRACE AV,10469,10469
ASPEN KNOLLS WY,10312,10312
89 AV,11432,11432
REEVES AV,11367,11367
CUMBERLAND ST,11238,11238
LONG ISLAND EXPY,11367,11367
MACOMBS DAM BR,10452,10451
FRANKLIN D ROOSEVELT DRIVE,10016,10016
STARBUCK ST,10304,10304
HENRY KAUFMANN CAMPGROUNDS DVWY,10314,10314
HENRY KAUFMANN CAMPGROUNDS DVWY,10314,10314
HENRY KAUFMANN CAMPGROUNDS DVWY,10314,10314
HOYT ST,11231,11231
DOROTHY ST,10314,10314
166 ST,11434,11434
ALLEY,10309,10309
NOSTRAND AV,11216,11216
SEDGWICK AVE,10452,10452
PITTSVILLE AV,10307,10307
ALLEY,11235,11235
RADCLIFF AV,10462,10462
WASHINGTON AV,11238,11238
MILL BROOK HOUSES PEDESTRIAN PTH,10454,10454
CLE SB EN NORTHERN BLVD,11361,11361
FANNING ST,10314,10314
BORDEN AV,11101,11101
E 95 ST,11212,11212
GUYON AV,10306,10306
FRANCIS LEWIS BLVD,11428,11428
W 73 ST,10023,10023
SOUTHGATE ST,11413,11413
ASTORIA BLVD,11102,11102
FDR DR VI,10004,10004
63 RD,11374,11374
86 AV,11427,11427
76 ST,11421,11421
GREENE AV,11221,11221
LIBERTY AV,11207,11207
MURDOCK AV,11434,11434
11 ST,11101,11101
CRYSTAL AV,10302,10302
E 167 ST,10459,10459
29 AV,11358,11358
ROCKAWAY BEACH BLVD,11691,11691
CHURCH AV,11212,11212
145 ST BRIDGE PED AND BIKE PATH,10037,10037
136 AV,11434,11434
156 AV,11414,11414
WADSWORTH AV,10040,10040
HIMROD ST,11237,11237
E 34 ST,11210,11210
MERRY AV,10461,10461
RIVERSIDE DR,10032,10032
70 AV,11385,11385
ADAMS ST,11201,11201
N CONDUIT AV,11417,11417
119 AV,11411,11411
225 ST,,11428
TRANTOR PL,10302,10302
VLEIGH PL,11367,11367
E 54 ST,11203,11203
HAMPTON AV,11235,11235
163 ST,11357,11357
AMSTERDAM AV,10024,10024
KISSENA CORRIDOR PARK PATH,11365,11365
FRESH KILLS PARK PEDESTRIAN PATH,10314,10314
METROPOLITAN AV,11379,11379
IOWA RD,11362,11362
HUTCHINSON RIVER PKWY NB ET 19 S,10465,10465
42 AV,11361,11361
47 AV,11104,11104
FDR DR SB EN E 102 ST,10028,10028
161 AV,11414,11414
E 27 ST,11235,11235
E 71 ST,10021,10021
POST RD,10471,10471
CORTLANDT ST,10302,10302
TROUTMAN ST,11237,11237
37 AVE,11377,11377
84 ST,11421,11421
54 AV,11378,11378
GARDEN WAY,10458,10458
SULLIVAN DR,11357,11357
22 AV,11356,11356
108 AV,11433,11433
JACKIE ROBINSON PKWY,11375,11375
HALL ST,11205,11205
DEBORAH LOOP,10312,10312
FOREST PARK DR,11385,11385
MANSION ST,10460,10460
BROADWAY,10032,10032
SANDS ST,11251,11251
TROY AV,11213,11213
CARLYLE GRN,10312,10312
STARR AV,11101,11101
BAYCHESTER AV,10475,10475
CBE SB EN AMSTERDAM AV,10033,10033
BELMONT AV,10458,10458
4 AV,10465,10465
PARK DRIVE GREENWAY,10464,10464
69 ST,11379,11379
S RAILROAD AV,10306,10306
N GANNON AV,10314,10314
3 AV,10458,10458
68 RD,11374,11374
LACOMBE AV,10473,10473
PETER COOPER RD,10010,10010
86 ST,11417,11417
ALLEY,11105,11105
HERO RD,11695,11695
BQE,11378,11378
E 61 ST,10065,10065
LYDIG AV,10461,10461
ALAMEDA AVE,11362,11362
58 ST,11377,11377
CEDAR GROVE AV,10306,10306
W 126 ST,10027,10027
E 63 ST,10065,10065
E 37 ST,10016,10016
DORIT CT,10308,10308
9 ST,10306,10306
ATLANTIC AV,11421,11421
58 AV,11379,11379
LINDEN BLVD,11434,11434
MARCY AV,11206,11206
GOUVERNEUR PL,10456,10456
ELTON ST,11208,11208
MOTT AV,11691,11691
MAJOR DEEGAN EXWY,10452,10452
ALLEY,11234,11234
ARCHER AV,11435,11435
RESERVOIR PL,10467,10467
MARSH AV,10314,10314
WASHINGTON ST,10014,10014
COLLEGE PT BLVD,11355,11355
NARROWS RD S,10305,10305
EVERGREEN AV,10305,10305
BATES RD,11362,11362
WHITESTONE EXPRESSWAY ET 14 NB,11368,11368
184 ST,11365,11365
BOERUM ST,11206,11206
E NEW YORK AV,11207,11207
CODY PL,10312,10312
UNNAMED ST,11370,11370
126 ST,11368,11368
BEACH 108 ST,11694,11694
VETERANS RD W,10309,10309
84 AV,11432,11432
MDE NB EXIT 9,10468,10468
RAMSEY PL,10304,10304
CORPORAL KENNEDY ST,11361,11361
E 213 ST,10467,10467
BRUCKNER EXPRESSWAY ET 6 A EB,10472,10472
ROCK GARDEN PATH,10458,10458
HUGUENOT AV,10312,10312
GRAND CONCOURSE,10458,10458
VETERANS RD E,10309,10309
E 177 ST,10462,10462
LAFAYETTE ST,10012,10012
HILLSIDE AV,11418,11418
E 182 ST,10472,10472
19 AV,11204,11204
LIBERTY AV,11417,11417
KRUSER ST,10306,10306
210 ST,11427,11427
111 AV,11412,11412
SANDS ST,11201,11201
BELT PARKWAY EXIT 19 EB,11434,11434
148 ST,11435,11435
CARLYLE GRN,10312,10312
BEACH 108 ST,11694,11694
BERRY HOUSES PEDESTRIAN PATH,10306,10306
VICTORY BLVD,10314,10314
12 AVE,10069,10069
CLEARVIEW EXPY,11361,11361
HUGH L CAREY TUNNEL,10004,10004
190 ST,11412,11412
TAPPEN CT,10304,10304
W SERVICE RD,10314,10314
PUTNAM AV,11221,11221
LINCOLN AV,10454,10454
LIBERTY AV,11417,11417
CROTONA PARK S,10456,10456
EAGLE AV,10455,10455
CORSO CT,11223,11223
PENNSYLVANIA AV,11239,11239
NIPPON AV,10312,10312
FT HILL PARK,10301,10301
SHORE PKWY GREENWAY-80 ST PED OPAS,11220,11220
235 ST,11422,11422
FLATLANDS 8 ST,11236,11236
JEROME AV,10453,10453
CLERMONT AV,10307,10307
VAN BRUNT ST,11231,11231
CAPUCHIN WY,10467,10467
BATHGATE AV,10457,10457
PEDESTRIAN AND BIKE PATH LINK,11368,11368
PRESIDENT ST,11231,11231
LIBERTY AV,11207,11207
ROCKLAND AV,10314,10314
CHURCH LN,11236,11236
STADIUM AV,10465,10465
AV T,11234,11234
STADIUM PL N,11368,11368
138 ST,11435,11435
BELT PKWY,11214,11214
JUMEL ST,10308,10308
BROOK AV,10456,10456
70 AV,11367,11367
86 ST,11214,11214
ROCKAWAY PKWY,11236,11236
MERRICK BLVD,11413,11413
OTSEGO ST,11231,11231
58 ST,11220,11220
HARVEST AV,10310,10310
1 ST,10474,10474
39 AV,11368,11368
E 181 ST,10457,10457
MALCOLM X BLVD,11233,11233
HILLSIDE AV,11427,11427
51 ST,11377,11377
JACKIE ROBINSON PKWY,11207,11207
NOSTRAND AV,11216,11216
48 ST,11378,11378
CROWN ST,11225,11225
15 AV,11219,11219
FOREST AV,11385,11385
HUNTERS PT AV,11101,11101
W 230 ST,10463,10463
MADISON AV,10017,10017
171 ST,11434,11434
BEDFORD AV,11211,11249
BELT PKWY,11220,11220
SEWARD AV,10473,10473
ALLEY,11214,11214
KINGSTON PL,11432,11432
32 AV,11370,11370
E 16 ST,11229,11229
SEDGWICK AV,10468,10468
PELHAM PARKWAY ENTRANCE WB,10461,10461
SUTPHIN BLVD,11435,11435
ELLSWORTH AVE,10312,10312
CIP NB EN TOTTEN AV,11360,11360
GATEWAY DR,11239,11239
90 AV,11423,11423
QUEENS BLVD,11375,11375
233 ST,11422,11422
W 256 ST,10471,10471
35 ST,11101,11101
PARKCHESTER RD,10462,10462
BELMONT AV,11212,11212
WILLIAMSBURG BR BIKE AND PED PTH,10002,10002
96 ST,11368,11368
HENDERSON AV,10301,10301
ALLEY,10470,10470
PULASKI ST,11206,11206
DIVISION AV,11249,11249
E 54 ST,11203,11203
QUEENS BLVD,11375,11375
ADEE AV,10469,10469
HENRY HUDSON PKWY,10033,10033
E 169 ST,10456,10456
ALLEY,10455,10455
SOUTH AV,10314,10314
E 165 ST,10456,10456
DUNKIRK ST,11412,11412
E 144 ST,10451,10451
WOODS OF ARDEN RD,10312,10312
HRP SB EXIT 5,10464,10464
49 ST,11103,11103
ST JAMES PL,10304,10304
81 AV,11426,11426
ALLEY,,
GLENMORE AV,11207,11207
HOLLIS CT BLVD,11364,11364
UNION ST,11225,11225
GLENWOOD RD,11210,11210
MASPETH AV,11378,11378
E 29 ST,11226,11226
48 ST,11104,11104
MEEKER AV,11211,11211
DURANT AV,10308,10308
JEROME AV,11235,11235
ALLEY,11236,11236
CONOVER ST,11231,11231
4 AV,11215,11215
WALCOTT AV,10314,10314
BARRY RD,10004,10004
RFK BRIDGE MANHATTAN ENTRANCE RP,10035,10035
GRAND AV,11378,11378
BATTERY PARK PATH,10004,10004
SUTTER AV,11417,11417
KINGS HWY,11234,11234
77 AV,11367,11367
BOUCK AV,10469,10469
WATCHOGUE RD,10314,10314
92 AV,11418,11418
WILLIAMSBURG BRIDGE BIKE PTH,10002,10002
E 222 ST,10467,10467
COLLEGE PT BLVD,11355,11355
COLDEN AV,10462,10462
AV S,11234,11234
143 ST,11436,11436
CIRCLE RD,11363,11363
SEGUINE AV,10309,10309
VAN WYCK EXPY,11435,11418
E 55 ST,11234,11234
43 AV,11373,11373
BROOKLYN QUEENS EXWY,11205,11205
SHALER AV,11385,11385
AMSTEL BLVD,11692,11692
86 RD,11421,11421
SHORE RD,11209,11209
PENNSYLVANIA AV,11239,11239
69 RD,11375,11375
SHORE PKWY,11235,11234
S 5 ST,11211,11211
32 ST,11232,11232
145 ST,11436,11436
PARSONS BLVD,11367,11367
E 177 ST,10460,10460
FRANCIS LEWIS BLVD,11358,11358
BEACH 129 ST,11694,11694
108 ST,11419,11419
WALSH CT,11230,11230
31 PL,11101,11101
BEAUMONT AV,10458,10458
BROADWAY,10463,10463
138 ST,11355,11355
WESER AV,10304,10304
W 136 ST,10030,10030
BQE W,11377,11377
WILLIAMSBRIDGE RD,10461,10461
E 5 ST,11230,11230
76 ST,11373,11373
CLOVE RD,10310,10310
LIBERTY AV,10304,10304
255 ST,11422,11422
FARRADAY ST,10314,10314
FRESH KILLS PARK PEDESTRIAN PATH,10314,10314
9 AV,11220,11220
ARTHUR KILL RD,10309,10309
W 25 ST,11224,11224
UTICA AV,11234,11234
BELLAMY LOOP,10475,10475
W 134 ST,10031,10031
WATCHOGUE RD,10314,10314
FLATBUSH AV GREENWAY,11234,11234
HART BLVD,10301,10301
UNNAMED ST,11355,11355
MASON AV,10305,10305
POPLAR AV,11355,11355
W 218 ST,10034,10034
ALLEY,10309,10309
ESPLANADE,10469,10469
CONCORD AV,10454,10454
COMFORT CT,10312,10312
HUNTER ST,10304,10304
64 RD,11374,11374
CONNECTOR,10002,10002
ALLEY,11234,11234
HUTCHINSON RIVER PARKWAY E,10461,10461
LOCKE AV,11357,11357
BRIDGE ST,11201,11201
PARK ST,11206,11206
218 ST,11429,11429
E 153 ST,10455,10455
MITCHEL HOUSES PEDESTRIAN PATH,10454,10454
OCEAN PKWY,11230,11230
GRAND CENTRAL PKWY,11368,11368
94 ST,11369,11369
RALPH AV,11236,11236
HUGH J GRANT CIR,10472,10462
GLENWOOD RD,11210,11210
39 AV,11368,11368
DOROTHEA PL,10306,10306
SI EXWY EN EB,10305,10305
ROCKAWAY BEACH BLVD,11694,11694
HORACE HARDING EXPY,11365,11365
BROADWAY,10032,10032
CRANSTON ST,11434,11434
157 ST,11357,11357
NEW YORK AV,10305,10305
STRATFORD AVE PEDESTRIAN OPAS,10473,10473
ROCKAWAY FWY,11692,11692
LIE EB EN 159 ST,11365,11365
OLIVER ST,10038,10038
88 ST,11372,11372
ATLANTIC AV,11213,11213
MERCER ST,10012,10012
ALLEY,11234,11234
BROADWAY,10471,10471
GRAND CENTRAL PKWY,11364,11364
BEP WB EN 4 AV,11220,11220
STAFFORD AV,10312,10312
44 AV,11363,11363
93 ST,11373,11373
HENDRICKS AV,10301,10301
QUEENS BLVD,11374,11374
E 168 ST,10456,10456
WSE SB EN S AV,10309,10309
NAMEOKE AV,11691,11691
JFK TERMINAL 3 ACCESS ROAD,11430,11430
DITMARS BLVD,11369,11369
CYPRESS AV,,11237
EDENWALD HOUSES PEDESTRIAN PATH,10466,10466
BORINQUEN PL,11211,11211
SEAVIEW AVE,10305,10305
GRAY ST,10304,10304
ROCKAWAY FRWY,11693,11693
157 ST,11434,11434
245 ST,11422,11422
CYPRESS HILLS ST,11385,11385
ASPEN KNOLLS WY,10312,10312
PRESTON CT,11234,11234
12 AV,11219,11219
W 103 ST,10025,10025
NEPONSIT AV,11694,11694
204 ST,11412,11412
131 AV,11420,11420
FARMERS BLVD,11412,11412
STATEN IS EXWY,10314,10314
19 AV,11370,11370
WASHINGTON AV,11238,11238
125 ST,11420,11420
E 103 ST,11236,11236
101 AV,11429,11429
JUNGLE WORLD RD,10460,10460
103 ST,11368,11368
235 ST,11427,11427
JFK EXWY EXIT NB,11430,11430
175 ST,11432,11432
SEA BREEZE WALK,11697,11697
E 236 ST,10466,10466
CORBIN PL,11235,11235
VAN WYCK EXPY,11355,11355
VISTA AV,10304,10304
83 ST,11417,11417
W 187 ST,10033,10033
NASSAU PL,10307,10307
LA GUARDIA AV,10314,10314
W 36 ST,10018,10018
JACKIE ROBINSON PKWY,11385,11385
ALLEY,11433,11433
70 ST,11370,11370
N EDO CT,10309,10309
LINCOLN TUNNEL BUS EXIT,10018,10018
FRANKLIN D ROOSEVELT DRIVE,10028,10028
E RIVER ESPL,10038,10038
SPRINGFIELD BLVD,11364,11364
LINCOLN AV,10306,10306
QUINCY ST,11221,11221
FERRY TERMINAL VIA,10301,10301
WOOSTER ST,10012,10012
ROOSEVELT I HOUSES PED PATH,11206,11206
RESERVOIR LOOP,83,83
BEACH 122 ST,11694,11694
228 ST,11364,11364
JEFFERSON AV,11221,11221
37 ST,11101,11101
W 142 ST,10030,10030
CENTRE ST,10465,10465
E 10 ST,11230,11230
BORDEN AV,11101,11101
RIVERDALE AV,10471,10471
3 AV,11209,11209
ROCKLAND AV,10314,10314
118 AV,11434,11434
ED KOCH QUEENSBORO BRG,10022,10022
E 32 ST,11234,11234
FONDA AV,11412,11412
FRESH KILLS PK GREEN RIDGE PATH,10314,10314
96 ST,11368,11368
HYLAN BLVD,10305,10305
164 RD,11414,11414
IVY HILL RD,11211,11211
VAN DUZER ST,10304,10304
CLARENDON RD,11203,11203
DUMONT AV,11208,11208
48 ST,11104,11104
AMSTERDAM HOUSES PEDESTRIAN PATH,10023,10023
BRADY AV,10462,10462
ALLEY,11372,11372
E 52 ST,11203,11203
PELTON AV,10310,10310
W 21 ST,11224,11224
CHURCH ST,10007,10007
BLOOMINGDALE PARKWAY GREENWAY,10309,10309
SOUTHGATE PLZ,11413,11413
183 ST,11365,11365
VAN WYCK EXPWY NB EN UNION TPKE,11367,11367
RALPH AV,11234,11234
DELANCEY ST,10002,10002
154 ST,11354,11354
GOWANUS EXWY,11220,11220
BAILEY AV,10463,10463
PARK AV,10456,10456
E 92 ST,11212,11212
PITKIN AV,11212,11212
DECKER AV,10302,10302
GRAND CENTRAL PARKWAY ET 13 WB,11367,11367
ATLANTIC AV,11208,11208
E 24 ST,11210,11210
EDENWALD AV,10466,10466
HARLEM RIVER DRIVE EXIT 18 NB,10035,10035
E 26 ST,10010,10010
LABURNUM AV,11358,11358
N 9 ST,11249,11249
21 AV,11356,11356
E 17 ST,11230,11230
PORT RICHMOND AV,10302,10302
DRUMGOOLE RD E,10312,10312
AMBER ST,10306,10306
WARDS MEADOW LP,10035,10035
BEP WB EN FLATBUSH AV SB,11234,11234
E 94 ST,10128,10128
JUNIPER BLVD S,11379,11379
SPRINGFIELD BLVD,11427,11427
CHURCH AV,11697,11697
HULL AV,11378,11378
SEA BREEZE AV,11224,11224
GRAND CENTRAL PKWY,11369,11369
CLARKSON AV,11203,11203
W 89 ST,10024,10024
39 AV,11358,11358
MICHELLE CT,10303,10303
HIGHLAND AV,11224,11224
86 ST,11223,11223
ASPEN KNOLLS WY,10312,10312
NEGUNDO AV,11355,11355
194 ST,11365,11365
CONNER ST,10475,10475
BAY 37 ST,11214,11214
MITCHEL HOUSES PEDESTRIAN PATH,10454,10454
ROBERT F KENNEDY BRG,10035,10035
CASTLETON AV,10301,10301
E 91 ST,11236,11236
ROBIN CT,10309,10309
115 AV,11420,11420
EDENWALD HOUSES PEDESTRIAN PATH,10466,10466
E 242 ST,10470,10470
ATLANTIC AV,11224,11224
KISSENA PARK GREENWAY,11365,11365
140 ST,11436,11436
VAN WYCK EXPY,11435,11435
38 ST,11105,11105
92 AV,11428,11428
S GANNON AV,10314,10314
PECK AV,11365,11365
PENNSYLVANIA AV,11239,11239
E TREMONT AV,10457,10457
TODT HILL RD,10314,10314
MERRICK BLVD,11422,11422
ARTHUR AV,10457,10457
MARCY AV,10309,10309
ORDELL AV,10302,10302
USS NORTH CAROLINA RD,10305,10305
KANE ST,11231,11231
PIER 40 DY,10014,10014
GUYON AV,10306,10306
38 AV,11101,11101
FLUSHING AV,11206,11206
BLEECKER ST,11237,11237
15 RD,11360,11360
HOBART AV,10455,10455
W 33 ST,10001,10001
LINDEN BLVD,11412,11412
FRESH POND RD,11378,11378
35 AV,11368,11368
HUMBOLDT ST,11222,11222
JERSEY ST,10301,10301
VICTORY BLVD,10314,10314
ROOSEVELT AV,11377,11372
FOREST AV,10310,10310
HOLLAND TUN EXIT,10013,10013
FRESH POND RD,11385,11385
TOMPKINS AV,10305,10305
PARK AV,10021,10021
HUGH L CAREY TUNNEL,10004,10004
MARINE AV,11209,11209
JACQUES AV,10306,10306
SUTTON PL,10312,10312
WASHINGTON AV,10457,10457
TEPPER AVE,10035,10035
BERGEN AV,11234,11234
71 AV,11375,11375
74 ST,11373,11373
UNION TP,11367,11367
54 ST,11219,11219
TOMPKINS HOUSES PEDESTRIAN PATH,11206,11206
198 ST,11358,11358
53 AV,11378,11378
PEDESTRIAN PATH,10475,10475
PELHAM PKWY N,10467,10467
BERRY HOUSES PEDESTRIAN PATH,10306,10306
23 AV,11370,11370
CROSS BAY BLVD,11417,11417
LINCOLN TUN EN,10018,10018
BROADWAY,10031,10031
FOUNTAIN OF THE FAIRS PROM N,11355,11355
185 ST,11365,11365
FULTON ST,11233,11233
BLAKE AV,11207,11207
UNION TP,11427,11427
78 AV,11375,11375
NEREID AV,10466,10466
OAK AV,10306,10306
SHALER AV,11385,11385
ORLOFF AV,10463,10463
HENRY ST,11231,11231
ROOSEVELT AV,11354,11354
PEDESTRIAN PATH,11106,11106
CONEY ISLAND AV,11230,11230
82 AV,11426,11426
CLEARVIEW EXPY,11361,11361
BOOTH ST,11374,11374
99 AV,11429,11429
E 4 ST,10009,10009
144 AV,11413,11413
JFK TERMINAL 1-2-3 ENTRANCE,11430,11430
CRYSTAL ST,11208,11208
HAWKINS ST,10464,10464
OLINVILLE AV,10467,10467
SEAVIEW AV,11236,11236
MARYLAND AV,10305,10305
PARK AV,10075,10075
MAIN ST,10044,10044
162 ST,11365,11365
MANHATTAN BRIDGE PEDESTRIAN PATH,10002,10002
PELHAM PKWY,10461,10461
69 AV,11364,11364
CLOVE RD,10304,10304
CULOTTA LA,10309,10309
82 AV,11004,11004
PEARL ST,11201,11201
FREEMAN ST,11222,11222
ASTOR PL,10003,10003
CROTONA PKWY,10460,10460
NORMAN AV,11222,11222
SHERIDAN LOOP,11209,11209
MASON BLVD,10309,10309
KELVIN AV,10306,10306
149 ST,11357,11357
ROCKAWAY BEACH BLVD,11693,11693
WENTWORTH AV,10305,10305
MOSHOLU PARKWAY GREENWAY,10463,10463
GOE EB EXIT 17 UPPERDECK,11209,11209
WORTMAN AV,11208,11208
202 ST,11361,11361
PROSPECT PARK SW,11218,11218
E 66 ST,10065,10065
BOSTON RD,10466,10466
BOSTON RD,10466,10466
FARMERS BLVD,11434,11434
BROADWAY,10024,10024
BIKE PATH,11377,11377
68 AV,11375,11375
HENRY HUDSON PKWY,10033,10033
PENNSYLVANIA AV,11239,11239
BROADWAY,10031,10031
ED KOCH QUEENSBORO BRG,11101,11101
AV P,11229,11229
ARTHUR KILL RD,10308,10308
90 ST,11414,11414
ORBIT LA,10314,10314
ALLEY,11375,11375
MEISNER AV,10306,10306
BORDEN AV,11101,11101
69 PL,11379,11379
ALLEY,11101,11101
63 AV,11379,11379
GRACE CT,11201,11201
PARK AVE,11205,11205
BRONX COMMUNITY COLLEGE DY,10453,10453
FT HAMILTON PKWY,11209,11209
E 187 ST,10458,10458
OSTEND PL,11691,11691
OCEANIA ST,11364,11364
HICKS ST,11201,11201
172 ST,11358,11358
DELANCEY ST,10002,10002
CITY ISLAND RD,10464,10464
STAGE LA,10304,10304
BLEECKER ST,11237,11237
66 RD,11374,11374
MADISON ST,11385,11385
RANDALL-BALCOM HOUSES PED PATH,10465,10465
ALBEE AV,10312,10312
LINWOOD AV,10305,10305
125 ST,11356,11356
CONDUIT BLVD,11208,11208
SMITH ST,11231,11231
219 ST,11411,11411
TINTON AV,10455,10455
137 ST,11354,11354
191 ST,11358,11358
153 ST,11432,11432
ALLEY,,
21 ST,11106,11106
ESTATES LA,11360,11360
146 RD,11434,11434
G WASHINGTON BR,10033,10033
SPARKILL AV,10304,10304
108 ST,11375,11375
ALLEY,11377,11377
17 ST,11215,11215
GREENWICH ST,10014,10014
ADAM CLAYTON POWELL JR BOULEVARD,10039,10039
E 64 ST,10065,10065
E 127 ST,10035,10035
N SERVICE CT,11430,11430
CLOVE RD,10310,10310
FLATBUSH AV EX,11201,11201
SLOSSON AV,10314,10314
UNNAMED ST,11355,11355
WEEKS AV,10457,10457
AMBOY RD,10307,10307
AV I,11234,11234
BATH AV,11214,11214
202 ST,11423,11423
NORTHERN BLVD,11354,11354
S RAILROAD AV,10306,10306
ELIOT AV,11374,11374
3 AV,11209,11209
227 ST,11429,11429
STRICKLAND AV,11234,11234
34 RD,11361,11361
VAN WYCK EXPRESSWAY ET 13 W NB,11368,11368
GLEN OAKS SCHOOL CAMPUS EN RAMP,11427,11427
MECHANICS AL,10002,10002
PENNSYLVANIA AV,11207,11207
GRAHAM AV,11222,11222
SHORE PKWY,11414,11414
ROY WILKINS PARK EN,11359,11359
ED KOCH QUEENSBORO BRG,10022,10022
NORTHERN BLVD,11358,11358
SMITH ST,11434,11434
UNIV HEIGHTS BR BIKE AND PED PTH,10453,10453
BEP EB EN RIDGE BLVD,11220,11220
S GANNON AV,10314,10314
BRONX BLVD,10467,10467
E 72 ST,11234,11234
ALLEY,11234,11234
QUEENS BLVD,11375,11375
FAIRWAY AV,10304,10304
28 AV,11354,11354
VARET ST,11206,11206
HYLAN BLVD,10312,10312
W FORDHAM RD,10468,10468
HALSEY ST,11233,11233
HARMAN ST,11237,11237
1 AV,10022,10022
201 ST,11423,11423
QNSBO BR UP RY APPR,11101,11101
JFK ACCESS ROAD,11430,11430
CONNECTOR,11429,11429
ALLEY,11236,11236
BOOTH MEMORIAL AVE,11355,11355
65 AV,11367,11367
SCHURZ AV,10465,10465
VAN SINDEREN AV,11207,11207
BUSHWICK AV,11221,11221
27 AV,11358,11358
AMANDA CT,10312,10312
BARBEY ST,11207,11207
13 AVE,11219,11219
4 AV,11220,11220
