ST_LABEL,L_ZIP,R_ZIP
LONG ISLAND EXPWY ET 22 E EB,11367,11367
CLAY AV,10457,10457
HORACE HARDING EXPY,11367,11367
14 AV,11357,11357
120 AV,11412,11412
VAN WYCK EXPRESSWAY ET 1 A SB,11430,11430
RFK BR MANHATTAN EN RP RANDALLS,10035,10035
VOORHIES AVE-E 14 ST PED OPAS,11235,11235
30 PL,11101,11101
SHERMAN ST,11215,11215
NOSTRAND AV,11210,11210
BLOSSOM AV,11355,11355
WEST ALLEY RD,11362,11362
ED KOCH BR UPPER RY AP,11101,11101
BASSFORD AV,10458,10458
GRAND CENTRAL PKWY ET 10 W EB,11355,11355
72 ST,11209,11209
ATLANTIC AV,11238,11238
MCGRAW AVENUE,10462,10462
WOODPOINT RD,11211,11211
BOSTON RD,10460,10460
BAY VIEW AV,11224,11224
172 ST,11433,11433
WHITESTONE EXPY,11354,11354
LEITH PL,11362,11362
ALLEY,11234,11234
SUYDAM ST,11221,11221
SOUNDVIEW AV,10473,10473
66 DR,11379,11379
146 ST,11355,11355
MILFORD DR,10314,10314
BAY VIEW HOUSES PEDESTRIAN PATH,11236,11236
RICHMOND TER,10310,10310
53 ST,11219,11219
QUEENS MIDTOWN TUN,11101,11101
CROSS BRONX EXWY,10457,10457
GRAHAM AV,11206,11206
QUEENS BLVD,11373,11373
86 ST,11214,11214
E 26 ST,11226,11226
PARK AV,10016,10016
EAST RD,10044,10044
BLEECKER ST,10014,10014
JAMAICA AV,11418,11418
LEROY ST,10014,10014
NORTHERN BLVD,11101,11101
GREENPORT ST,10304,10304
HUTCHINSON RIVER PKWY,10464,10464
W 188 ST,10040,10040
59 ST,11220,11220
POWERS ST,11211,11211
KINGS HWY,11234,11234
DICKINSON AV,10463,10463
FLATLANDS 7 ST,11236,11236
CENTER BLVD,11109,11109
LABURNUM AV,11355,11355
STATEN IS EXWY,10314,10314
W 163 ST,10032,10032
CROSS ISLAND PARKWAY GREENWAY,11361,11361
95 AV,11419,11419
67 RD,11375,11375
HICKS ST,11201,11201
12 AV,10314,10314
51 AV,11373,11373
COLUMBUS AV,10025,10025
E TREMONT AV,10462,10462
UNNAMED ST,10461,10461
BIKE PATH,10044,10044
KREISCHER ST,10309,10309
BEACH 27 ST,11691,11691
BRUCKNER EXWY EXIT EB,10473,10473
MANHATTAN BRIDGE BIKE PTH,11201,11201
PEDESTRIAN PATH,10473,10473
HILLSIDE AV,11427,11427
90 ST,11373,11373
GCP EB EN WICKLOW PL,11423,11423
