,Borough,Neighborhood,Venue_Category,Total_Count
205,STATEN ISLAND,Port Richmond,Park,6
206,STATEN ISLAND,Mariner's Harbor,Park,3
207,STATEN ISLAND,Port Ivory,Park,7
208,STATEN ISLAND,Castleton Corners,Park,4
209,STATEN ISLAND,New Springville,Park,3
210,STATEN ISLAND,Travis,Park,3
211,STATEN ISLAND,New Dorp,Park,2
212,STATEN ISLAND,Oakwood,Park,2
213,STATEN ISLAND,Great Kills,Park,6
214,STATEN ISLAND,Eltingville,Park,3
215,STATEN ISLAND,Annadale,Park,1
216,STATEN ISLAND,Woodrow,Park,2
217,STATEN ISLAND,Tottenville,Park,5
218,STATEN ISLAND,Tompkinsville,Park,8
219,STATEN ISLAND,Silver Lake,Park,5
220,STATEN ISLAND,Sunnyside,Park,2
221,BROOKLYN,Ditmas Park,Park,8
222,BROOKLYN,Wingate,Park,11
223,BROOKLYN,Rugby,Park,9
224,STATEN ISLAND,Park Hill,Park,2
225,STATEN ISLAND,Westerleigh,Park,4
226,STATEN ISLAND,Graniteville,Park,7
227,STATEN ISLAND,Arlington,Park,2
228,STATEN ISLAND,Arrochar,Park,3
229,STATEN ISLAND,Grasmere,Park,2
230,STATEN ISLAND,Old Town,Park,1
231,STATEN ISLAND,Midland Beach,Park,2
232,STATEN ISLAND,Grant City,Park,2
233,STATEN ISLAND,New Dorp Beach,Park,2
234,STATEN ISLAND,Bay Terrace,Park,6
235,STATEN ISLAND,Huguenot,Park,4
236,STATEN ISLAND,Pleasant Plains,Park,1
237,STATEN ISLAND,Butler Manor,Park,4
238,STATEN ISLAND,Rossville,Park,7
239,STATEN ISLAND,Arden Heights,Park,5
240,STATEN ISLAND,Greenridge,Park,5
241,STATEN ISLAND,Heartland Village,Park,3
242,STATEN ISLAND,Chelsea,Park,3
243,STATEN ISLAND,Bloomfield,Park,1
244,STATEN ISLAND,Bulls Head,Park,5
245,MANHATTAN,Carnegie Hill,Park,10
246,MANHATTAN,Noho,Park,19
247,MANHATTAN,Civic Center,Park,23
248,MANHATTAN,Midtown South,Park,9
249,STATEN ISLAND,Richmond Town,Park,2
250,STATEN ISLAND,Shore Acres,Park,3
251,STATEN ISLAND,Clifton,Park,5
252,STATEN ISLAND,Concord,Park,2
253,STATEN ISLAND,Emerson Hill,Park,2
254,STATEN ISLAND,Randall Manor,Park,8
255,STATEN ISLAND,Howland Hook,Park,6
256,STATEN ISLAND,Elm Park,Park,5
257,BROOKLYN,Remsen Village,Park,10
258,BROOKLYN,New Lots,Park,5
259,BROOKLYN,Paerdegat Basin,Park,3
260,BROOKLYN,Mill Basin,Park,5
261,QUEENS,Jamaica Hills,Park,7
262,QUEENS,Utopia,Park,9
263,QUEENS,Pomonok,Park,8
264,QUEENS,Astoria Heights,Park,9
265,BRONX,Claremont Village,Park,20
266,BRONX,Concourse Village,Park,14
267,BRONX,Mount Eden,Park,16
268,BRONX,Mount Hope,Park,13
269,MANHATTAN,Sutton Place,Park,9
270,QUEENS,Hunters Point,Park,19
271,MANHATTAN,Turtle Bay,Park,8
272,MANHATTAN,Tudor City,Park,10
273,MANHATTAN,Stuyvesant Town,Park,13
274,MANHATTAN,Flatiron,Park,13
275,QUEENS,Sunnyside Gardens,Park,11
276,QUEENS,Blissville,Park,8
277,BROOKLYN,Fulton Ferry,Park,21
278,BROOKLYN,Vinegar Hill,Park,27
279,BROOKLYN,Weeksville,Park,14
280,BROOKLYN,Broadway Junction,Park,12
281,BROOKLYN,Dumbo,Park,25
282,STATEN ISLAND,Willowbrook,Park,3
283,STATEN ISLAND,Sandy Ground,Park,2
284,STATEN ISLAND,Egbertville,Park,1
285,BROOKLYN,Homecrest,Park,5
286,QUEENS,Middle Village,Park,8
287,STATEN ISLAND,Prince's Bay,Park,5
288,STATEN ISLAND,Lighthouse Hill,Park,5
289,STATEN ISLAND,Richmond Valley,Park,1
290,QUEENS,Malba,Park,10
291,BROOKLYN,Highland Park,Park,10
292,BROOKLYN,Madison,Park,5
