,hood_name,amount,borough_name,latitude,longitude,log_amount,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
38,Cambria Heights,499317.5,QUEENS,40.69277463916089,-73.73526873708033,5.698376787405495,37.25,84.73333333333333,13.7
39,Canarsie,531864.0,BROOKLYN,40.63556432797432,-73.90209269778973,5.725800595452255,47.28333333333333,69.08333333333333,20.983333333333334
40,Carnegie Hill,941459.0,MANHATTAN,40.78268256712574,-73.95325646837121,5.9738014114886635,23.116666666666667,24.633333333333333,34.2
41,Carroll Gardens,1126667.5,BROOKLYN,40.68213188564184,-74.00037274122076,6.051795766781603,28.283333333333335,39.233333333333334,37.61666666666667
42,Castle Hill,496198.0,BRONX,40.81901437698835,-73.84802729582742,5.695655009451075,33.88333333333333,68.93333333333334,29.766666666666666
43,Castleton Corners,636237.0,STATEN ISLAND,40.613335937667465,-74.1191805853485,5.803618921653744,39.266666666666666,57.35,35.75
44,Central Harlem,775059.0,MANHATTAN,40.81597606742418,-73.94321112603912,5.889334763666492,26.616666666666667,29.666666666666668,32.45
45,Charleston,742335.5,STATEN ISLAND,40.530531482833176,-74.23215775896533,5.870600229898575,46.75,85.03333333333333,49.93333333333333
46,Chelsea,796416.5,MANHATTAN,40.74403470674802,-74.0031163347282,5.901140249076016,9.866666666666667,16.416666666666668,43.333333333333336
47,Chelsea,796416.5,STATEN ISLAND,40.59472602746298,-74.18956045519697,5.901140249076016,39.416666666666664,49.05,42.78333333333333
48,Chinatown,1002600.0,MANHATTAN,40.715618422314364,-73.99427936255985,6.001127700277035,21.266666666666666,22.983333333333334,35.11666666666667
49,City Island,561559.5,BRONX,40.84724670491817,-73.7864884526742,5.749395778678793,38.68333333333333,75.85,33.18333333333333
50,City Line,639509.0,BROOKLYN,40.678569957274824,-73.86797598081343,5.805846660812848,39.11666666666667,53.0,16.116666666666667
51,Civic Center,2076404.5,MANHATTAN,40.715228920462856,-74.00541529873362,6.317311961414214,16.883333333333333,16.916666666666668,39.7
52,Claremont Village,545983.5,BRONX,40.83142834161551,-73.90119903387674,5.737179518222633,33.93333333333333,49.95,33.53333333333333
53,Clason Point,434850.0,BRONX,40.806551120035934,-73.85414416189273,5.638339474410679,37.18333333333333,68.48333333333333,33.5
54,Clifton,525170.0,STATEN ISLAND,40.61917845202847,-74.07264244548406,5.7202999093317946,42.733333333333334,69.33333333333333,36.95
55,Clinton,779892.5,MANHATTAN,40.758333686906404,-73.99640768221386,5.892034743877288,10.333333333333334,15.883333333333333,40.63333333333333
56,Clinton Hill,1265286.5,BROOKLYN,40.69322942188155,-73.96784306216374,6.102188874350672,26.433333333333334,37.11666666666667,33.81666666666667
57,Co-op City,182250.0,BRONX,40.87429419303015,-73.82993910812405,5.260667536990012,40.8,77.55,35.56666666666667
58,Cobble Hill,2707548.5,BROOKLYN,40.68791972248561,-73.9985613921847,6.432576244833357,27.116666666666667,40.45,36.43333333333333
59,College Point,853173.0,QUEENS,40.78490274926025,-73.84304528896132,5.931037103063663,32.4,66.51666666666667,26.05
60,Concord,591857.0,STATEN ISLAND,40.604473189687944,-74.08402364740365,5.7722167884579365,39.65,50.45,33.86666666666667
61,Concourse,267970.0,BRONX,40.834283807338544,-73.91558941773451,5.428086176253649,32.516666666666666,37.266666666666666,36.05
