,index,CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,BORO_NM,Latitude,Longitude
5336,5336,438781017,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.74876701400007,-73.98531965899997
5337,5337,324730286,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.57530103700003,-73.97654206499993
5338,5338,880910002,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BRONX,40.85889017400008,-73.87020236699995
5339,5339,575130994,VIOLATION,HARRASSMENT 2,MANHATTAN,40.81181176000007,-73.93832865099995
5340,5340,959822488,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,QUEENS,40.71120089300007,-73.87219248899999
5341,5341,313343774,FELONY,CRIMINAL MISCHIEF & RELATED OF,QUEENS,40.69304126500003,-73.80058885899997
5342,5342,977573582,FELONY,MISCELLANEOUS PENAL LAW,BRONX,40.80823691300003,-73.91486272799993
5343,5343,663665213,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,40.60362534600006,-74.06930383999998
5344,5344,479849792,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,QUEENS,40.77378992000007,-73.81746063299995
5345,5345,594353348,FELONY,SEX CRIMES,QUEENS,40.76930608700008,-73.91550817999997
5346,5346,874858257,FELONY,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.65170090400005,-73.86844675099995
5347,5347,134393483,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BRONX,40.82946090600007,-73.90657156199995
5348,5348,812928537,FELONY,NYS LAWS-UNCLASSIFIED FELONY,MANHATTAN,40.71634415200003,-74.00125319299997
5349,5349,561218236,VIOLATION,HARRASSMENT 2,BROOKLYN,40.63436107900003,-73.97782195499997
5350,5350,572069976,VIOLATION,HARRASSMENT 2,BRONX,40.82065337100005,-73.89122147799998
5351,5351,320196880,MISDEMEANOR,PETIT LARCENY,QUEENS,40.69500001000005,-73.73008548899995
5352,5352,263481989,FELONY,FORGERY,MANHATTAN,40.740095421000035,-73.97929155999998
5353,5353,212731303,MISDEMEANOR,POSSESSION OF STOLEN PROPERTY,QUEENS,40.680048726000045,-73.77590919399995
5354,5354,658863871,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,40.652751771000055,-73.95987563399994
5355,5355,912158303,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,BRONX,40.822772446000045,-73.90708678799997
5356,5356,379611232,MISDEMEANOR,OTHER OFFENSES RELATED TO THEF,MANHATTAN,40.75671785500003,-73.98063996399995
5357,5357,736277137,FELONY,GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,40.623292830000025,-73.98777520799997
5358,5358,403638913,MISDEMEANOR,OTHER OFFENSES RELATED TO THEF,QUEENS,40.69238709800004,-73.82718182099995
5359,5359,294642980,FELONY,BURGLARY,BRONX,40.849712339000064,-73.83037319999994
5360,5360,153211350,VIOLATION,HARRASSMENT 2,BRONX,40.860752045000034,-73.88958329299999
5361,5361,522286318,FELONY,FELONY ASSAULT,BRONX,40.81856111800005,-73.91664512199995
5362,5362,322944214,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,MANHATTAN,40.75238719900005,-73.97034392199998
5363,5363,530949311,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.749681321000025,-73.98795774099993
5364,5364,934041680,FELONY,MISCELLANEOUS PENAL LAW,MANHATTAN,40.72760651400005,-73.97781978999996
5365,5365,543779880,VIOLATION,HARRASSMENT 2,BROOKLYN,40.66487273900003,-73.90416355699995
5366,5366,535188107,FELONY,GRAND LARCENY,QUEENS,40.677605279000026,-73.82821877999999
5367,5367,193935686,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.69333892600008,-73.91478225599997
5368,5368,437962912,FELONY,ROBBERY,BROOKLYN,40.707259124000075,-73.94405566199998
5369,5369,871054187,MISDEMEANOR,PETIT LARCENY,STATEN ISLAND,40.632398051000045,-74.09717977099997
5370,5370,633532251,MISDEMEANOR,PETIT LARCENY,BRONX,40.86846737800005,-73.82158284599996
5371,5371,610228667,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.64361804200007,-73.90865149799998
5372,5372,616207922,MISDEMEANOR,PETIT LARCENY,QUEENS,40.698520780000074,-73.81945187499997
5373,5373,624870839,FELONY,MISCELLANEOUS PENAL LAW,BROOKLYN,40.664515169000026,-73.90658992299996
5374,5374,963367236,FELONY,ROBBERY,BRONX,40.850167870000064,-73.91477652899994
5375,5375,643028353,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.61818691100007,-74.039378861
5376,5376,585445080,FELONY,GRAND LARCENY,BROOKLYN,40.70843429200004,-73.95790520999998
5377,5377,754843708,FELONY,GRAND LARCENY,MANHATTAN,40.75468486300008,-73.98675490199997
5378,5378,123471378,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BRONX,40.82142768200004,-73.91436893199995
5379,5379,728331014,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,QUEENS,40.760782095000025,-73.93414527799997
5380,5380,320975696,VIOLATION,HARRASSMENT 2,MANHATTAN,40.752809101000025,-73.97928760899998
5381,5381,658132741,FELONY,FORGERY,BRONX,40.81698058400008,-73.92115225499998
5382,5382,245405977,VIOLATION,HARRASSMENT 2,MANHATTAN,40.750430768000044,-73.98928217599996
5383,5383,823377217,VIOLATION,HARRASSMENT 2,BRONX,40.82191037600006,-73.903467704
5384,5384,570991662,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,QUEENS,40.744209915000056,-73.86081903099996
5385,5385,450900412,FELONY,THEFT-FRAUD,MANHATTAN,40.75808599000004,-73.973192967
5386,5386,601760738,FELONY,MISCELLANEOUS PENAL LAW,BRONX,40.81569533200008,-73.92846231799997
5387,5387,357883960,FELONY,GRAND LARCENY,MANHATTAN,40.75166951200004,-73.97658102499997
5388,5388,427025209,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,MANHATTAN,40.76699564200004,-73.96392230399994
5389,5389,412619776,MISDEMEANOR,SEX CRIMES,MANHATTAN,40.80874990400008,-73.95258580599993
5390,5390,668610694,MISDEMEANOR,DANGEROUS DRUGS,BRONX,40.81876883900002,-73.85052893099999
5391,5391,624749734,MISDEMEANOR,DANGEROUS DRUGS,MANHATTAN,40.75917269900003,-73.98839279299993
5392,5392,616036407,FELONY,MISCELLANEOUS PENAL LAW,QUEENS,40.71357605000002,-73.83228877899995
