,amount,borough_name,hood_name,total_crime,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
17,455173.0,BRONX,High  Bridge,72,40.8366230107061,-73.92610209358138,28.966666666666665,52.33333333333334,32.516666666666666
18,631906.5,BRONX,Hunts Point,26,40.80972987938713,-73.88331505955298,32.36666666666667,67.6,32.38333333333333
19,328997.5,BRONX,Kingsbridge,43,40.881687371205246,-73.90281798724611,35.333333333333336,45.86666666666667,38.18333333333333
20,595731.0,BRONX,Longwood,59,40.81509904545826,-73.89578820094465,28.2,46.88333333333333,29.68333333333333
21,474500.5,BRONX,Melrose,93,40.81975437059498,-73.90942160757443,31.11666666666667,40.28333333333333,34.666666666666664
22,641327.0,BRONX,Morris Heights,39,40.84789792606274,-73.91967159119572,29.61666666666667,59.86666666666667,34.25
23,626357.5,BRONX,Morris Park,22,40.847549063536384,-73.85040178030428,36.11666666666667,77.8,29.766666666666666
24,388329.0,BRONX,Morrisania,74,40.82359198585537,-73.90150648943066,33.083333333333336,42.0,35.166666666666664
25,656187.5,BRONX,Mott Haven,114,40.80623874935181,-73.91609987487583,24.83333333333333,45.01666666666666,28.38333333333333
26,276727.0,BRONX,Mount Eden,45,40.84382617671658,-73.91655551964428,30.23333333333333,50.03333333333333,31.58333333333333
27,505001.5,BRONX,Mount Hope,89,40.84884160724669,-73.90829930881995,31.766666666666666,40.81666666666667,34.416666666666664
28,812447.5,BRONX,North Riverdale,10,40.9085428295067,-73.90453054908934,33.583333333333336,75.46666666666667,43.8
29,221897.0,BRONX,Norwood,52,40.87722415599449,-73.87939073956818,37.516666666666666,51.48333333333333,34.916666666666664
30,422622.5,BRONX,Olinville,65,40.87137078192375,-73.86332361652785,37.91666666666666,56.3,35.583333333333336
31,236411.0,BRONX,Parkchester,27,40.83793782226733,-73.8560031053579,37.3,68.53333333333333,32.083333333333336
32,594422.0,BRONX,Pelham Bay,12,40.850641409403394,-73.83207378240479,34.2,71.53333333333333,29.216666666666665
33,561897.0,BRONX,Pelham Gardens,18,40.86296562478002,-73.8416119483123,35.55,87.3,29.2
34,625382.5,BRONX,Pelham Parkway,23,40.85741349808869,-73.85475564018006,34.98333333333333,64.38333333333334,28.63333333333333
35,424923.5,BRONX,Port Morris,12,40.801663627756255,-73.91322139386142,25.716666666666665,60.75,29.25
36,545332.0,BRONX,Riverdale,7,40.89083449389135,-73.91258546108577,30.08333333333333,60.21666666666667,40.31666666666667
37,562859.0,BRONX,Schuylerville,38,40.82657951686926,-73.82620275994081,30.43333333333333,86.86666666666666,25.966666666666665
38,666142.5,BRONX,Soundview,76,40.82101219791406,-73.86574609554933,30.13333333333333,74.15,28.466666666666665
39,385721.5,BRONX,Spuyten Duyvil,9,40.8813949772709,-73.91719048210399,29.23333333333333,59.0,39.35
40,449917.0,BRONX,Throgs Neck,4,40.815109258040096,-73.8163500215845,34.46666666666667,97.91666666666669,28.16666666666667
41,588603.0,BRONX,Unionport,16,40.829774297871644,-73.85053524451942,31.466666666666665,67.13333333333334,27.23333333333333
42,408305.0,BRONX,University Heights,70,40.855727077196676,-73.91041596191317,33.93333333333333,56.25,38.05
