,Name,Borough,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
29,Country Club,BRONX,40.84424593694742,-73.82409926753857,35.11666666666667,81.21666666666667,28.866666666666667
30,Parkchester,BRONX,40.83793782226733,-73.8560031053579,37.3,68.53333333333333,32.083333333333336
31,Westchester Square,BRONX,40.840619496432744,-73.8421940760445,32.36666666666667,64.23333333333333,26.0
32,Van Nest,BRONX,40.84360847124722,-73.86629918075617,33.416666666666664,54.666666666666664,31.233333333333334
33,Morris Park,BRONX,40.84754906353638,-73.85040178030428,36.11666666666667,77.8,29.766666666666666
34,Belmont,BRONX,40.85727710073898,-73.88845196134812,34.45,51.13333333333333,32.55
35,Spuyten Duyvil,BRONX,40.8813949772709,-73.917190482104,29.233333333333334,59.0,39.35
36,North Riverdale,BRONX,40.9085428295067,-73.90453054908934,33.583333333333336,75.46666666666667,43.8
37,Pelham Bay,BRONX,40.85064140940339,-73.83207378240478,34.2,71.53333333333333,29.216666666666665
38,Schuylerville,BRONX,40.82657951686926,-73.82620275994081,30.433333333333334,86.86666666666666,25.966666666666665
39,Edgewater Park,BRONX,40.82198611816354,-73.81388514428627,32.8,87.46666666666667,27.8
40,Castle Hill,BRONX,40.81901437698835,-73.84802729582742,33.88333333333333,82.43333333333334,29.766666666666666
41,Olinville,BRONX,40.87137078192375,-73.86332361652784,37.916666666666664,56.3,35.583333333333336
42,Pelham Gardens,BRONX,40.862965624780024,-73.8416119483123,35.55,87.3,29.2
43,Concourse,BRONX,40.834283807338544,-73.91558941773451,32.516666666666666,52.05,36.05
44,Unionport,BRONX,40.82977429787165,-73.85053524451942,31.466666666666665,67.13333333333334,27.233333333333334
45,Edenwald,BRONX,40.88456130303736,-73.84808271877175,40.2,71.95,34.983333333333334
46,Bay Ridge,BROOKLYN,40.62580106501069,-74.03062069353821,38.2,51.3,33.766666666666666
47,Bensonhurst,BROOKLYN,40.61100890202048,-73.99517998380736,42.43333333333333,50.63333333333333,32.333333333333336
48,Sunset Park,BROOKLYN,40.64510294925433,-74.01031618527792,36.666666666666664,37.483333333333334,36.983333333333334
49,Greenpoint,BROOKLYN,40.730200984864744,-73.954240931274,17.9,38.53333333333333,29.916666666666668
50,Gravesend,BROOKLYN,40.59526001306597,-73.97347087708452,44.45,53.7,26.316666666666666
51,Brighton Beach,BROOKLYN,40.576825065666085,-73.96509448785343,45.45,50.06666666666667,25.266666666666666
52,Sheepshead Bay,BROOKLYN,40.58689012678388,-73.94318640482987,44.166666666666664,57.15,22.716666666666665
53,Manhattan Terrace,BROOKLYN,40.61443251335102,-73.95743840559946,44.53333333333333,43.9,31.216666666666665
54,Flatbush,BROOKLYN,40.63632589026681,-73.95840106533912,38.9,38.333333333333336,35.28333333333333
55,Crown Heights,BROOKLYN,40.67082917695298,-73.9432911907359,38.53333333333333,34.1,33.36666666666667
56,East Flatbush,BROOKLYN,40.64171776668965,-73.93610256185843,46.38333333333333,55.3,31.466666666666665
57,Kensington,BROOKLYN,40.64238195800357,-73.98042110559481,33.63333333333333,40.35,41.583333333333336
58,Windsor Terrace,BROOKLYN,40.65694583575108,-73.98007340430179,31.1,40.71666666666667,39.483333333333334
59,Prospect Heights,BROOKLYN,40.67682226225477,-73.96485924262697,32.28333333333333,31.216666666666665,39.61666666666667
60,Brownsville,BROOKLYN,40.66394994339758,-73.91023536176615,41.56666666666667,42.63333333333333,27.183333333333334
61,Williamsburg,BROOKLYN,40.70714439344255,-73.95811529220936,25.15,27.983333333333334,31.566666666666666
62,Bushwick,BROOKLYN,40.69811611017905,-73.92525797487053,31.016666666666666,38.96666666666667,33.266666666666666
63,Bedford Stuyvesant,BROOKLYN,40.6872316077205,-73.94178488690304,34.333333333333336,39.65,35.46666666666667
64,Brooklyn Heights,BROOKLYN,40.69586372272413,-73.99378225496432,26.466666666666665,26.1,36.36666666666667
65,Cobble Hill,BROOKLYN,40.68791972248561,-73.9985613921847,27.116666666666667,37.81666666666667,36.43333333333333
66,Carroll Gardens,BROOKLYN,40.68213188564184,-74.00037274122076,28.283333333333335,34.55,37.61666666666667
